epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1245.29,1.40131,0.81174,0.97825,0.72313,0.56744,0.5913,0.36242,1.30115,0.63435,0.933,0.0700087,0.00333236,0.00333236
2,2458.92,1.35233,0.70077,0.95639,0.72234,0.59031,0.60045,0.37149,1.30339,0.62388,0.93933,0.0400028,0.00665978,0.00665978
3,3664.2,1.36178,0.71079,0.96142,0.70322,0.59004,0.59514,0.37125,1.27947,0.59666,0.93383,0.00997326,0.00996355,0.00996355
4,4869.36,1.32856,0.68509,0.95182,0.71704,0.62195,0.60643,0.37859,1.27415,0.57774,0.93328,0.00992029,0.00992029,0.00992029
5,6076.02,1.27565,0.64568,0.937,0.73076,0.62827,0.62979,0.39664,1.27422,0.56767,0.93323,0.00985862,0.00985862,0.00985862
6,7281.26,1.24625,0.6265,0.92865,0.72496,0.63279,0.62887,0.39715,1.27275,0.56572,0.9331,0.00977975,0.00977975,0.00977975
7,8485.84,1.2252,0.6132,0.92354,0.72356,0.6304,0.62507,0.39321,1.2724,0.56467,0.93321,0.00968399,0.00968399,0.00968399
8,9690.94,1.2094,0.60359,0.91968,0.72558,0.62585,0.62825,0.39432,1.27302,0.56571,0.93342,0.00957172,0.00957172,0.00957172
9,10894.5,1.19831,0.59639,0.91704,0.72095,0.62051,0.62727,0.39595,1.27524,0.56761,0.93399,0.00944338,0.00944338,0.00944338
10,12098.6,1.18882,0.59037,0.91505,0.71157,0.62082,0.62669,0.39503,1.27802,0.5691,0.93477,0.00929948,0.00929948,0.00929948
11,13317,1.1793,0.58442,0.91293,0.67614,0.62545,0.62086,0.39323,1.27985,0.56925,0.93526,0.00914058,0.00914058,0.00914058
12,14532.7,1.17017,0.57916,0.91068,0.68736,0.61344,0.61962,0.39122,1.2824,0.57073,0.93624,0.00896731,0.00896731,0.00896731
13,15742.9,1.16546,0.57577,0.90976,0.70309,0.60647,0.61966,0.39026,1.28484,0.57416,0.93722,0.00878036,0.00878036,0.00878036
14,16948.2,1.1583,0.57088,0.90827,0.70758,0.60048,0.61788,0.38954,1.28817,0.57497,0.93848,0.00858046,0.00858046,0.00858046
15,18168.1,1.15183,0.56741,0.90656,0.71775,0.59829,0.61872,0.38935,1.29006,0.57439,0.93913,0.00836841,0.00836841,0.00836841
16,19389.2,1.14639,0.56385,0.90555,0.69959,0.60591,0.61717,0.38793,1.29188,0.5739,0.9398,0.00814503,0.00814503,0.00814503
17,20600.6,1.14007,0.55997,0.9041,0.68496,0.62129,0.61904,0.3894,1.29377,0.57622,0.94096,0.00791122,0.00791122,0.00791122
18,21809.4,1.13536,0.55666,0.90275,0.69456,0.61116,0.6177,0.38994,1.29586,0.57502,0.94193,0.00766789,0.00766789,0.00766789
19,23014.2,1.12783,0.5522,0.9015,0.70652,0.6046,0.61665,0.39047,1.29674,0.57315,0.9414,0.00741601,0.00741601,0.00741601
20,24218,1.12279,0.54848,0.9003,0.70322,0.60836,0.61787,0.3906,1.29773,0.57337,0.94163,0.00715656,0.00715656,0.00715656
21,25430.8,1.11699,0.54494,0.89889,0.7073,0.6122,0.62255,0.39168,1.29749,0.5732,0.94188,0.00689058,0.00689058,0.00689058
22,26643.4,1.11196,0.54175,0.89776,0.71563,0.60919,0.62236,0.39148,1.29716,0.57276,0.94199,0.0066191,0.0066191,0.0066191
